site,parameter,date,year,month,day,hour,aqi,unit,duration,qc_name,aqi_categ
Hanoi,PM2.5 - Principal,2015-01-09T04:00:00Z,2015,01,09,04,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T05:00:00Z,2015,01,09,05,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T06:00:00Z,2015,01,09,06,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T07:00:00Z,2015,01,09,07,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T08:00:00Z,2015,01,09,08,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T09:00:00Z,2015,01,09,09,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T10:00:00Z,2015,01,09,10,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T11:00:00Z,2015,01,09,11,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T12:00:00Z,2015,01,09,12,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T13:00:00Z,2015,01,09,13,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T14:00:00Z,2015,01,09,14,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T15:00:00Z,2015,01,09,15,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T16:00:00Z,2015,01,09,16,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T17:00:00Z,2015,01,09,17,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T18:00:00Z,2015,01,09,18,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T19:00:00Z,2015,01,09,19,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T20:00:00Z,2015,01,09,20,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T21:00:00Z,2015,01,09,21,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T22:00:00Z,2015,01,09,22,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-09T23:00:00Z,2015,01,09,23,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-10T00:00:00Z,2015,01,10,00,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-10T01:00:00Z,2015,01,10,01,NA,UG/M3,1 Hr,Missing,NA
