CX-5 2.5 AT AWD,Mazda,SUV,Lắp ráp,1.025,990,2.5 i4 Skyactiv-G,185,250
BT-50 2.2MT 4WD,Mazda,Pick-up,Nhập khẩu,674,660,2.2 I4 diesel,148,375
BT-50 2.2AT 2WD,Mazda,Pick-up,Nhập khẩu,699,684,2.2 I4 diesel,148,375
CX-9,Mazda,SUV,Nhập khẩu,1.855,1.817,3.7 V6,274,367
Mazda6 2.0AT Premium,Mazda,Sedan,Lắp ráp,1.02,1,2.0 I4 Skyactiv,153,200
Levorg GT-S,Subaru,Station Wagon,Nhập khẩu,1.489,1.459,1.6 H4,168,250
Outback 2.5i-S,Subaru,SUV-Wagon,Nhập khẩu,1.733,1.698,2.5 H4,175,235
Outback 3.6R,Subaru,SUV-Wagon,Nhập khẩu,1.897,1.859,3.6 H6,256,350
Forester 2.0i-L,Subaru,SUV,Nhập khẩu,1.445,1.416,2.0 H4,150,198
Forester 2.0XT,Subaru,SUV,Nhập khẩu,1.666,1.632,2.0 H4 Turbo,240,350
